,FLAG_CF,PREPARATION_DATE,PDT_COD,PDT_DSC,TRANSFORMABLE,INNO,IMPLUSE,Umbrella_Brand,Import_type,Usine,PLT_COD,PLT_DSC,PREVISION_NATIONAL,COMMANDE_NATIONAL,ALLOUE_NATIONAL,LIVRE_NATIONAL,ECART_ALLOC_NATIONAL,RUPTURE_NATIONAL,RUPTURE_STKA_NATIONAL,NO_FORECAST_NAT,ECART_PREVISION_NAT,ECART_PREVISION_NAT_PERCENT,PREVISION,COMMANDE,ALLOUE,LIVRE,ECART_ALLOC,RUPTURE,RUPTURE_STKA,NO_FORECAST,ECART_PREVISON,ECART_PREVISION_PERCENT,CSL_ALLOC,CSL,PERTE_CSL_vs_ALLOC,CSL_ALLOC_NATIONAL,CSL_NATIONAL,PERTE_CSL_vs_ALLOC_NATIONAL,Cause_Pareto
0,0,2019-01-02,122329,POT VERRE CITRUS x2 FR - AFH,0,0,1,DANONE,1,Aldaya(ES),0084,0024 FR AIX (DC),322,268,148,148,0,120,120,0,-54,16.770186335403725,54,1,1,1,0,0,0,0,-53,98.14814814814815,100.0,100.0,0.0,55.223880597014926,55.223880597014926,0.0,Previsions
1,0,2019-01-02,122329,POT VERRE CITRUS x2 FR - AFH,0,0,1,DANONE,1,Aldaya(ES),0081,0024 FR TOURS (DC),322,268,148,148,0,120,120,0,-54,16.770186335403725,10,3,3,3,0,0,0,0,-7,70.0,100.0,100.0,0.0,55.223880597014926,55.223880597014926,0.0,Previsions
2,0,2019-01-02,122329,POT VERRE CITRUS x2 FR - AFH,0,0,1,DANONE,1,Aldaya(ES),0082,0024 FR VALLET (DC),322,268,148,148,0,120,120,0,-54,16.770186335403725,25,47,47,47,0,0,0,0,22,-88.0,100.0,100.0,0.0,55.223880597014926,55.223880597014926,0.0,Previsions
3,0,2019-01-02,122329,POT VERRE CITRUS x2 FR - AFH,0,0,1,DANONE,1,Aldaya(ES),0085,0024 FR TOULOUSE (DC),322,268,148,148,0,120,120,0,-54,16.770186335403725,22,26,26,26,0,0,0,0,4,-18.181818181818183,100.0,100.0,0.0,55.223880597014926,55.223880597014926,0.0,Previsions
4,0,2019-01-02,122329,POT VERRE CITRUS x2 FR - AFH,0,0,1,DANONE,1,Aldaya(ES),0083,0024 FR CHAPONNAY (DC),322,268,148,148,0,120,120,0,-54,16.770186335403725,24,22,22,22,0,0,0,0,-2,8.333333333333334,100.0,100.0,0.0,55.223880597014926,55.223880597014926,0.0,Previsions
5,0,2019-01-02,122329,POT VERRE CITRUS x2 FR - AFH,0,0,1,DANONE,1,Aldaya(ES),0079,0024 FR PARIS SUD (DC),322,268,148,148,0,120,120,0,-54,16.770186335403725,187,169,49,49,0,120,120,0,-18,9.62566844919786,28.994082840236686,28.994082840236686,0.0,55.223880597014926,55.223880597014926,0.0,Previsions
6,0,2019-01-02,127908,GERVAIS GRIEGO 115X2 BLUEBERRY FR,0,0,0,GERVAIS,1,Rosenheim(ALL),0084,0024 FR AIX (DC),1298,812,812,646,166,166,0,0,-486,37.442218798151,135,76,76,76,0,0,0,0,-59,43.7037037037037,100.0,100.0,0.0,100.0,79.55665024630541,20.44334975369459,A Creuser
7,0,2019-01-02,127908,GERVAIS GRIEGO 115X2 BLUEBERRY FR,0,0,0,GERVAIS,1,Rosenheim(ALL),0080,0024 FR METZ (DC),1298,812,812,646,166,166,0,0,-486,37.442218798151,20,113,113,113,0,0,0,0,93,-465.0,100.0,100.0,0.0,100.0,79.55665024630541,20.44334975369459,A Creuser
8,0,2019-01-02,127908,GERVAIS GRIEGO 115X2 BLUEBERRY FR,0,0,0,GERVAIS,1,Rosenheim(ALL),0081,0024 FR TOURS (DC),1298,812,812,646,166,166,0,0,-486,37.442218798151,412,65,65,65,0,0,0,0,-347,84.22330097087378,100.0,100.0,0.0,100.0,79.55665024630541,20.44334975369459,A Creuser
9,0,2019-01-02,127908,GERVAIS GRIEGO 115X2 BLUEBERRY FR,0,0,0,GERVAIS,1,Rosenheim(ALL),0082,0024 FR VALLET (DC),1298,812,812,646,166,166,0,0,-486,37.442218798151,182,114,114,114,0,0,0,0,-68,37.362637362637365,100.0,100.0,0.0,100.0,79.55665024630541,20.44334975369459,A Creuser
